trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.997004495503373}",30,8,-134.1311506387886,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 2}",1
2,False,"{'a': 0.2, 'e': 0.9910403787728836}",20,0,-150.31213784131663,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.2, 'e': 0.9851119396030626}",25,9,-44.762120755237675,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 0}",1
4,False,"{'a': 0.2, 'e': 0.9792189645694596}",30,0,-153.80484154609758,"{0: 14, 1: 6, 2: 9, 3: 0, 4: 1}",0
5,False,"{'a': 0.2, 'e': 0.9733612415243368}",20,5,-16.54626470088435,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.2, 'e': 0.967538559589032}",30,0,-199.56238734542563,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
7,False,"{'a': 0.2, 'e': 0.9617507091463667}",30,0,-129.50212748729746,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.2, 'e': 0.9559974818331}",25,0,-84.145793774998,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.2, 'e': 0.950278670532427}",25,0,-123.98613974741278,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.9445940693665233}",25,0,-93.01319711065112,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.2, 'e': 0.9389434736891332}",30,0,-168.2682002452924,"{0: 15, 1: 4, 2: 9, 3: 0, 4: 2}",0
12,False,"{'a': 0.2, 'e': 0.933326680078202}",20,0,-129.3637937330506,"{0: 8, 1: 2, 2: 9, 3: 0, 4: 1}",0
13,False,"{'a': 0.2, 'e': 0.9277434863285529}",25,0,-76.33697325596054,"{0: 15, 1: 0, 2: 10, 3: 0, 4: 0}",0
14,False,"{'a': 0.2, 'e': 0.922193691444608}",20,0,-67.81932498319534,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
15,False,"{'a': 0.2, 'e': 0.9166770956331523}",35,0,-181.76221421309177,"{0: 20, 1: 2, 2: 11, 3: 0, 4: 2}",0
16,False,"{'a': 0.2, 'e': 0.9111935002961405}",25,0,-57.04182589910404,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.9057427080235485}",20,0,-87.16670390061809,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.2, 'e': 0.9003245225862656}",20,0,-162.86677654974983,"{0: 10, 1: 5, 2: 1, 3: 1, 4: 3}",0
