trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,-7,-27.391549773459825,"{0: 24, 1: 4, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,-28,-169.609224816596,"{0: 42, 1: 6, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,-55,-352.4507329077499,"{0: 50, 1: 9, 2: 15, 3: 1, 4: 5}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,-42,-126.60398814863304,"{0: 37, 1: 16, 2: 8, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,-100,-664.84080246889,"{0: 72, 1: 11, 2: 29, 3: 4, 4: 9}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,-100,-767.8994008832865,"{0: 68, 1: 26, 2: 22, 3: 3, 4: 11}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,-100,-562.7555142054741,"{0: 75, 1: 12, 2: 22, 3: 3, 4: 8}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,-99,-649.3208206489742,"{0: 73, 1: 12, 2: 21, 3: 2, 4: 11}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-24,-210.56277071760343,"{0: 25, 1: 7, 2: 9, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,-39,-283.9236817039631,"{0: 37, 1: 6, 2: 10, 3: 2, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,-45,-413.6485302773282,"{0: 37, 1: 7, 2: 13, 3: 1, 4: 7}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,-85,-354.82987618315667,"{0: 71, 1: 14, 2: 18, 3: 3, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,5,16.69276924771012,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,8,-85.21344992107804,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,-77,-552.529024664591,"{0: 64, 1: 7, 2: 14, 3: 1, 4: 11}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,3,-90.54809509505753,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,-100,-564.0813865373698,"{0: 76, 1: 13, 2: 26, 3: 3, 4: 7}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,-99,-619.8532958558035,"{0: 74, 1: 11, 2: 28, 3: 2, 4: 9}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,-61,-349.6061843334526,"{0: 54, 1: 7, 2: 19, 3: 2, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,-80,-408.47338468907793,"{0: 64, 1: 9, 2: 27, 3: 1, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,-96,-647.6178651485905,"{0: 73, 1: 11, 2: 25, 3: 2, 4: 10}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,-40,-375.1095324096286,"{0: 36, 1: 10, 2: 6, 3: 0, 4: 8}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-81,-261.7980434621496,"{0: 70, 1: 8, 2: 20, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,-27,-307.77000446805886,"{0: 24, 1: 6, 2: 11, 3: 2, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,-47,-464.0909661572342,"{0: 41, 1: 3, 2: 14, 3: 0, 4: 9}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,-93,-486.24654945348715,"{0: 74, 1: 15, 2: 20, 3: 2, 4: 7}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,-21,-207.56693028410322,"{0: 29, 1: 3, 2: 8, 3: 4, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,-16,-221.5168770923651,"{0: 24, 1: 3, 2: 4, 3: 0, 4: 5}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,-53,-277.3856898589813,"{0: 46, 1: 12, 2: 10, 3: 1, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,10,-60.62755257220275,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 1}",1
